Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
Compliance,Consulting,New Delhi,Kapil Dev,Angel,"1,45,000"
Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,"10,00,000"
Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,"3,80,80,000"
Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,"5,00,000"
EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,"15,00,00,000"
E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,"6,00,00,000"
Tech,Logistics,Singapore,Undisclosed,Series B,"1,60,00,000"
Tech,Smartphone Operating System,Andheri,Ventureast,Series B,"57,50,000"
Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,"25,00,000"
Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,"10,00,000"
EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,"3,19,605"
E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,"5,10,00,000"
Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,"1,00,00,000"
E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,"48,89,975.54"
Finance,FinTech,Bengaluru,Matrix Partners,Series A,"90,00,000"
Finance,FinTech,New Delhi,Insight Partners,Series B,"7,50,00,000"
Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,"2,60,00,000"
Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,"25,00,000"
Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,"27,39,034.68"
Energy,Renewable Energy,New Delhi,IAN Fund,Series A,"2,60,00,000"
Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,"1,51,09,500.00"
Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,"4,30,200"
FinTech,Financial Services,Haryana,Tiger Global Management,Series A,"1,55,00,000"
FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,"5,20,00,000"
Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,"35,84,000"
Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,"34,00,000"
Transport,Cabs,Bengaluru,Tata Sons,Series A,undisclosed
Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,"8,68,600"
E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,undisclosed
Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,"15,00,00,000"
Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,"5,00,00,000"
Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,"5,10,00,000"
Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,"14,00,00,000"
E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,"1,15,00,000"
Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,"56,00,000"
Finance,Wealth Management,Bengaluru,Eight Roads,Series A,"4,50,00,000"
E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,"1,70,00,000"
E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,"4,30,665"
Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,"35,91,375"
Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,"2,00,000"
Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,"35,00,000"
Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,"63,20,820"
E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,"24,43,495"
Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,"3,07,000"
SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,"2,60,00,000"
E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,"30,00,000"
E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,"14,342,000+"
Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,"50,00,000"
Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,"30,00,000"
AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,Undisclosed
Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,"22,60,00,000"
Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,"6,00,000"
Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,"10,00,00,000"
Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,"11,00,00,000"
Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,"2,20,00,000"
Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,"50,00,000"
Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,"7,00,000"
Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,"5,00,00,000"
Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,"8,00,000"
Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,"5,72,000"
Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,"1,43,000"
B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,"20,00,000"
"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,"35,00,000"
Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,"1,38,995"
NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,"2,77,99,000"
Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,"5,00,00,000"
Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,"5,00,000"
Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,"10,00,000"
Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,"10,00,000"
Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,"13,00,000"
Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,"10,00,000"
Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,"5,00,000"
Automation,Robotics,California,SoftBank Vision Fund,Series B,"30,00,00,000"
Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),"60,00,000"
Education,Personalized Learning,Noida,Individual investors,Seed Funding,"2,78,000"
Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,"3,10,00,000"
Social Network,Art,Gurugram,Individual investors,Seed Funding,Undisclosed
Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,"34,00,000"
Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,"2,95,00,000"
Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,"4,20,00,000"
Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,"17,00,000"
Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed/ Angel Funding,
Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,"1,10,00,000"
Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,"82,00,000"
Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,"30,00,000"
Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,"40,00,000"
Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,"1,46,80,000"
Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,"1,20,00,000"
Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,"3,50,00,000"
B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,"22,50,00,000"
Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,"63,90,000"
Healthcare,Healthcare Service Provider,Delhi,,Seed / Angel Funding,"10,00,000"
Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,
Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,"15,72,00,000"
