Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
Consumer Internet,Credit card fraud protection,Mumbai,Sequoia Capital,Private Equity,
Technology,Open Source Language for Data Science and Machine Learning,Bangalore,"General Catalyst, Founder Collective",Private Equity,"46,00,000"
Consumer Internet,Consumer Lending platform,Mumbai,"Endiya Partners, Ventureast",Private Equity,"20,00,000"
Consumer Internet,Local homes booking platform,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,"5,00,000"
Consumer Internet,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,"40,00,000"
Consumer Internet,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed Funding,"10,00,000"
Technology,Gesture based\\xc2\\xa0 Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,"50,00,000"
eCommerce,Online marketplace,Bangalore,Naspers,Private Equity,"7,10,00,000"
Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity,"40,00,000"
Consumer Internet,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,"50,00,000"
Consumer Internet,Unified Data Analysis platform,Bangalore,Gujarat Venture Finance Ltd,Private Equity,
eCommerce,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,"3,11,000"
Consumer Internet,Fitness Centre Discovery Platform,New Delhi,"Aparup Sengupta, Devendra Reddy,",Seed Funding,
Consumer Internet,Online Marketplace for financial products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,"30,00,000"
Consumer Internet,AI Based Personal Assistant,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,"20,00,000"
Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,"10,00,000"
Technology,"digital employee solutions,",Mumbai,Zeta,Private Equity,
Technology,in-video discovery platform,Bangalore,Undisclosed Investors,Private Equity,"50,00,000"
Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,"2,10,00,000"
Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,"7,37,00,000"
eCommerce,Buying portal for SMEs,Gurgaon,International Finance Corporation,Private Equity,"1,00,00,000"
Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding,"15,00,000"
Logistics,Truck Network company,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,"1,00,00,000"
Consumer Internet,Online Platform for small business loans,Mumbai,Dutch government fund,Private Equity,
Consumer Internet,Real estate risk assessment platform,Bangalore,undisclosed investors,Seed Funding,"3,90,000"
Consumer Internet,Cab Aggregation App,Bangalore,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers",Private Equity,"10,45,00,000"
Technology,Software & Mobile development services,Bangalore,undisclosed investors,Seed Funding,"10,00,000"
Consumer Internet,Online Diagnostics and wellness platform,New Delhi,"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners",Private Equity,
Consumer Internet,AI-based health content platform,New Delhi,Nimit Panigrahi,Seed Funding,
Consumer Internet,Health-based social networking & discovery App,Mumbai,Hinduja family,Seed Funding,
Consumer Internet,Peer-to-peer lending platform,Hyderabad,50K Ventures,Seed Funding,
Technology,Cloud Based Practice Management Software,Trivandrum,Accel Partners,Private Equity,
Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding,"2,33,000"
eCommerce,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,"7,00,000"
Consumer Internet,Last minute hotel booking mobile app,New Delhi,"Indian Angels Network, LetsVenture",Seed Funding,
Technology,Restaurant Automation Solution,Pune,Deepak Nathani,Seed Funding,
Food & Beverage,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,"10,00,000"
Technology,Omni-Channel Platform,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,"50,00,000"
Technology,Health-Tech Platform,Bangalore,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,"32,00,000"
Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding,"50,000"
Technology,Computer Vision on Embedded Systems,Bangalore,Anand Chandrasekaran,Seed Funding,
Technology,Ecommerce Fulfilment and Technology Platform,Pune,Luxasia Group,Private Equity,
Technology,IT Security & Data Management Services,Mumbai,"GVFL, Unicorn India Ventures",Private Equity,
Technology,Cyber Security Startup,New Delhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,\\xc2\\xa0 Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",Seed Funding,
Consumer Internet,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,"14,00,000"
eCommerce,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,"77,00,000"
Consumer Internet,Community Building platform,Bangalore,1Crowd,Seed Funding,"6,00,000"
Technology,Advertising Platform for Virtual Reality,Bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",Seed Funding,
Consumer Internet,Online lending platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,"40,00,000"
eCommerce,Diamond B2B eTailer,Mumbai,Chirag Nikunj Sheth & Others,Seed Funding,
Technology,Clean Tech Startup,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed Funding,
Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,"50,00,000"
Technology,NanoTech product developer,Bangalore,GEMs,Seed Funding,
Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,"4,66,000"
eCommerce,Cloud ECommerce platform,Bangalore,undisclosed investors,Seed Funding,"10,00,000"
Technology,Project Management tool,Bangalore,IdeaSpring Capital,Seed Funding,"5,00,000"
Technology,Multi-lingual AI Platform for Businesses,Bangalore,Kstart Capital,Seed Funding,
Technology,AI-based chatbot,Bangalore,SAP,Private Equity,
Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,"30,00,000"
eCommerce,Fashion ECommerce Portal,Mumbai,Rocketship,Private Equity,"5,00,000"
Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed Funding,"2,50,000"
Consumer Internet,Online Lending platform,Mumbai,Jungle Ventures,Private Equity,"53,00,000"
ECommerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,"10,00,000"
eCommerce,Online Water Pumps etailer,Chandigarh,Dr. Ritesh Malik,Seed Funding,
ECommerce,Mobile Wallet & ECommerce platform,Bangalore,SoftBank Group,Private Equity,"1,40,00,00,000"
Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,"10,00,000"
Food & Beverage,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Funding,
eCommerce,Private Fashion Brand etailer,New Delhi,Gokaldas Exports Ltd,Private Equity,
Logistics,ECommerce Logistics provider,New Delhi,Fosun International,Private Equity,"3,00,00,000"
Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding,"5,00,000"
ECommerce,Travel ECommerce portal,Hyderabad,Eagle10 Ventures,Seed Funding,
Consumer Internet,Hyperlocal discovery platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,"66,00,000"
Consumer Internet,News Portal,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,
Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,"10,00,000"
Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,"5,80,000"
Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,"80,00,000"
Consumer Internet,Online Lending mobile app,Bangalore,Lahiri Music\\xe2\\x80\\x99s family office,Seed Funding,
Consumer Internet,Finance management Mobile app,Mumbai,,Seed Funding,
Consumer Internet,Online MF investment platform,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,
Technology,image Processing solution,New Delhi,Undisclosed Investors,Seed Funding,
eCommerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,"35,00,000"
Logistics,Express Logistics Network,Bangalore,Matrix Partners,Seed Funding,
Consumer Internet,Online lending platform,New Delhi,Undisclosed Investors,Seed Funding,
Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,"15,00,000"
Consumer Internet,Online food delivery platform,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,"8,00,00,000"
eCommerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,"50,00,000"
Consumer Internet,Hyperlocal Discovery\\xc2\\xa0 & Rewards platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,"70,00,000"
Consumer Internet,Online & Mobile based Lending platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,"38,00,000"
Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,"82,00,000"
Consumer Internet,Online Test Preparation Platform,Mumbai,Matrix Partners India,Private Equity,
Healthcare,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,"4,00,00,000"
Technology,Enterprise IoT solutions For Tyre Performance,Mumbai,Rohitash Gupta,Seed Funding,
Consumer Internet,Micro Lending platform,Bangalore,Unicorn India Ventures & Others,Private Equity,
Food & Beverage,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,"27,00,000"
Technology,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,Private Equity,"61,00,000"
Technology,Interactive Tech-Support Guides,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,"36,90,000"
Technology,App based Logistics & Distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,"70,00,000"
Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,"5,00,000"
Consumer Internet,App based Doctor Consulting platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,"5,00,000"
Consumer Internet,Credit Score Improvement platform,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed Funding,
Consumer Internet,Food Delivery Platform,Mumbai,Zephyr Peacock India,Private Equity,"30,00,000"
Technology,Business Intelligence Solutions,Bangalore,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",Private Equity,
Healthcare,Home-Based Healthcare provider,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,"2,10,00,000"
Consumer Internet,Mobile gaming startup,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,"50,00,000"
Consumer Internet,Startup Support Platform,Gurgaon,"YouWeCan Ventures,",Seed Funding,
Healthcare,Online Healthcare provider,Noida,Paytm,Seed Funding,
Technology,Smart Scooter manufacturer,Gurgaon,"Ishwar Singh,Farhaan Shabbir",Seed Funding,
eCommerce,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,"1,80,00,000"
eCommerce,Online marketplace for kitchen products,Mumbai,Labruyere Eberl\\xc3\\xa9,Private Equity,
Consumer Internet,Online rental discovery platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,"46,00,000"
Technology,SaaS platform for SMEs,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,"1,50,000"
Consumer Internet,Online Lending Platform for SME,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,"23,00,000"
eCommerce,B2B agri-marketing platform,Bangalore,"Accel Partners, Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,"55,00,000"
Technology,Software solutions for M&As,Bangalore,Philippe Bouchet,Seed Funding,"1,00,000"
Consumer Internet,Online Sports portal & Mobile app,New Delhi,"Sushil Kumar, Sandeep Singh",Seed Funding,
eCommerce,Online lingerie & Sleepwear etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,"40,00,000"
Logistics,Third Party Logistics provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,"45,00,000"
Consumer Internet,Online Skill Assessment Platform,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,"45,00,000"
Technology,Software-As-a-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,"21,00,000"
Consumer Internet,Food Delivery Platform,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed Funding,
Consumer Internet,Online Travel planner,Mumbai,Z Nation Lab,Seed Funding,
eCommerce,Safety & Hygiene Products etailer,Gurgaon,Redcliffe Capital,Private Equity,
Consumer Internet,Travel Packages & Planner marketplace,Gurgaon,"Urrshila Kerkar,",Private Equity,"77,00,000"
Consumer Internet,Cab Aggregator App,Bangalore,SIMI Pacific Pte,Private Equity,"26,00,00,000"
Consumer Internet,Mobile App for Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,"3,10,000"
Consumer Internet,Online Medical Assistance platform,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,"15,00,000"
Technology,Health Technology platform,New Delhi,Benori Ventures LLP,Seed Funding,
Food & Beverages,Raw Pressed Juices manufacturer,Mumbai,Jacqueline Fernandez,Seed Funding,
Food & Beverages,Healthy Snacks manufacturer,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding,"1,75,000"
Consumer Internet,Online Salon discovery & Booking Services,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,"6,20,000"
Consumer Internet,eLearning & Skills Development plat,New Delhi,Village Capital,Seed Funding,
Consumer Internet,Lending platform for small businesses,Ahmedabad,Anicut Capital,Private Equity,"46,50,000"
Technology,Cyber Security solutions using AI,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,"20,00,000"
Technology,Markerless AR platform,Bangalore,Ideaspring Capital,Private Equity,"6,00,000"
Technology,Virtual Reality Startup,Bangalore,Exfinity Venture Partners,Private Equity,"12,50,000"
Technology,IoT Platform for Bus,New Delhi,Undisclosed Investor,Seed Funding,"1,55,000"
Consumer Internet,Online Food Delivery,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,"30,00,000"
eCommerce,Social Commerce\\xc2\\xa0 Fashion platform,Bangalore,Ankit Nagori,Private Equity,
Consumer Internet,Video Based Collaborative Learning,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,"10,00,000"
Food & Beverage,QSR chain and online food delivery,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,"63,00,000"
Consumer Internet,Branded Budget Hotels Aggregator,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,"25,00,00,000"
Consumer Internet,Learning mobile app for students,Mumbai,WGG International,Private Equity,"32,00,000"
Healthcare,Breast Cancer Screening Solutions,Bangalore,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed Funding,
Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Arun Tadanki, Aditya Verma",Seed Funding,"2,45,000"
Consumer Internet,Mobile Services Marketplace,Gurgaon,Trifecta Capital,Private Equity,"31,00,000"
Consumer Internet,Collaborative co-Working Spaces,Mumbai,Sequoia India,Private Equity,"2,00,00,000"
Consumer Internet,Online Pharmacy,Bangalore,"Times Internet,Matrix Partners",Private Equity,
Technology,Customer data analytics software,Mumbai,DAH Beteiligungs GmbH,Private Equity,"1,10,00,000"
Consumer Internet,Public and Private Events creation app,Chennai,S. Xavier Britto,Seed Funding,"15,00,000"
eCommerce,Online fashion marketplace,New Delhi,Trifecta Capital,Private Equity,"10,00,000"
Consumer Internet,Bus Pooling services platform,Bangalore,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",Private Equity,
Consumer Internet,On-Demand Food Delivery,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,"36,00,000"
Technology,Software Solutions for Auto Dealership,Pune,GardX International,Seed Funding,
Technology,Education Institution Management Solutions,Jaipur,Cross Border Angels & Experts,Seed Funding,
Consumer Internet,Online Educational courses,Bangalore,BlackSoil Capital Pvt. Ltd,Private Equity,"15,00,000"
Consumer Internet,Healthcare related content platform,New Delhi,Accel Partners,Seed Funding,"7,50,000"
Consumer Internet,Financial advisory mobile app,Mumbai,Poshika Financial Ecosystem,Seed Funding,
Consumer Internet,Tutor Discovery & Booking platform,Jaipur,NB Ventures,Private Equity,
Consumer Internet,App based cab aggregator,Bangalore,SoftBank Group Corp,Private Equity,"33,00,00,000"
Consumer Internet,Online Jon Portal,Bangalore,Sequoia Capital India,Private Equity,"1,00,00,000"
Consumer Internet,AI based Fashion Search Portal,Kolkata,"Calcutta Angels Network (CAN), Augment Ventures",Seed Funding,
ECommerce,Fresh Produce Selling portal,New Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",Seed Funding,
Consumer Internet,Women Healthcare & Information portal,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,"15,00,000"
Technology,Packaging Artwork Management software,Chennai,Ideaspring Capital,Seed Funding,"5,00,000"
Consumer Internet,Micro Lending platform,Gurgaon,Lightspeed Venture Partners,Private Equity,"25,00,000"
Technology,End-to-End Seller e-commerce solutions Provider,Vadodara,Langoor,Seed Funding,
Consumer Internet,Online Credit score & lending platform,Chennai,Quona Capital,Private Equity,"76,00,000"
Consumer Internet,Online Ecosystem of social innovators,Bangalore,"Chandigarh Angels Network, Social Alpha and other unnamed angel investors",Seed Funding,
Technology,Employee Onboarding and Engagement platform,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed Funding,"2,75,000"
Consumer Internet,Professional Tutors discovery & booking mobile app,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",Seed Funding,
Technology,eCommerce Mobile App Builder,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,"67,00,000"
Consumer Internet,Mobile App for live emoji,Hyderabad,Undisclosed angel investors,Seed Funding,
ECommerce,ECommerce Marketplace,Bangalore,Alibaba,Private Equity,"20,00,00,000"
Healthcare,Health Diagnostic Solutions,Mumbai,CDC Group Plc,Private Equity,"1,95,00,000"
Consumer Internet,Online Counseling Platform,Mumbai,Atul Nishar,Seed Funding,"12,00,000"
Consumer Internet,Fashion and Lifestyle discovery platform,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed Funding,"1,50,000"
Consumer Internet,Gadget Insurance & Repair Services platform,Mumbai,SIDBI Venture Capital Fund,Private Equity,"17,90,000"
Technology,Direct-to-Farmer Mobile-Based Retail platform,Pune,Accel Partners,Private Equity,"1,00,00,000"
Technology,"DSP, TV Analytics & Cross-Platform advertising",Bangalore,Star India Pvt Ltd,Private Equity,"1,00,00,000"
Technology,Cyber Security Solutions,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,"10,00,000"
Consumer Internet,Online Vehicle Services Booking platform,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,"30,000"
Consumer Internet,Intra-City Logistics provider,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,"36,50,000"
Logistics,Technology Enabled Logistics Company,Gurgaon,Private Sector Banks (Debt Funding),Private Equity,"1,50,00,000"
Technology,Intelligent Sales Prospecting Platform,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,"11,00,000"
Consumer Internet,Subscription based Home Delivery Platform,Mumbai,Y Combinator,Seed Funding,"1,20,000"
Consumer Internet,Online Community for Parents,Gurgaon,"Kae Capital, SEGNEL Ventures",Private Equity,
Consumer Internet,Instant Mobile Apps Store,Bangalore,Deepak Gurnani,Seed Funding,"5,00,000"
Consumer Internet,Online Real Estate Portal,Mumbai,Times Internet Ltd,Private Equity,"45,00,000"
Healthcare,Female Hygiene product manufacturer,New Delhi,Indian Angel Network,Seed Funding,"4,43,000"
ECommerce,Online fresh fruits and grocery store,New Delhi,Singapore Angel Network,Seed Funding,
Technology,SDN Solutions,Bangalore,Ideaspring Capital,Seed Funding,"6,00,000"
Consumer Internet,Fractional Proerty Ownership & Rental platform,Bangalore,"Asuka, Pravega Ventures, BEENEXT",Seed Funding,
Consumer Internet,Online Dermatology consultation platform,New Delhi,Cyber Carrier,Private Equity,
eCommerce,Tech Accessories e-tailer,Hyderabad,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",Private Equity,"33,50,000"
Consumer Internet,On-demand home services provider,Kolkata,Undisclosed Investor,Seed Funding,"1,00,000"
Consumer Internet,Loyalty rewards app,Mumbai,"IDG Ventures, Blume Ventures, Saha Fund,",Private Equity,"13,50,000"
Technology,Virtual Reality platform,Surat,"Puneet Gupta, Nimitt Desai & Others",Seed Funding,
Consumer Internet,Digital Media publication for women,New Delhi,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",Private Equity,"31,00,000"
Consumer Internet,Fitness Mobile App,Gurgaon,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed Funding,"2,00,000"
Technology,Farming rental equipment provider,Gurgaon,Indian Angel Network,Seed Funding,
eCommerce,ECommerce Marketplace,Bangalore,"Microsoft, eBay, Tencent Holdings",Private Equity,"1,40,00,00,000"
Technology,Online payment Gateway,Mumbai,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",Private Equity,"36,70,000"
Consumer Internet,On-Demand Beauty Services,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,"53,00,000"
eCommerce,Pregnancy & Baby Care etailer,New Delhi,"Shripad Nadkarni, Nandu Nandkishore",Seed Funding,
Consumer Internet,Tech-Enabled Social Enterprise,Bangalore,"Ravi Saxena, Sandeep Raju,",Seed Funding,"1,91,000"
Consumer Internet,Online Travel Search Engine,Gurgaon,"Sequoia Capital, Kinzon Capital",Private Equity,"1,50,00,000"
Technology,Marketing Research Company,Pune,"FTV Capital, Zodius Capital",Private Equity,"5,60,00,000"
Technology,supply chain automation platform,Bangalore,Ojas Ventures,Seed Funding,"3,82,000"
Consumer Internet,Parenting Mobile App,Bangalore,"Mahavir Sharma, Vishal Jain, Rohit Sethi, Gaurav Luniya",Seed Funding,
Technology,Tech enabled Fulfilment & Logistics Solutions,New Delhi,"Carlyle Group, Tiger Global",Private Equity,"10,00,00,000"
Consumer Internet,Sports Based Online Media portal,New Delhi,"Vikas Bajaj, Amit Kharbanda,",Seed Funding,
ECommerce,Online fashion marketplace,Mumbai,Venture Catalysts,Private Equity,"5,00,000"
Technology,Enterprise Automation suite,New Delhi,3one4 capital,Private Equity,
Consumer Internet,On-demand Personal Assistant service,Gurgaon,Brand Capital,Private Equity,"3,00,000"
ECommerce,Luxury Fashion Marketplace,Bangalore,Undisclosed Investors,Seed Funding,
Consumer Internet,Vacation Trip Planning platform,Mumbai,"Ankit Gupta, Puneet Motihar",Seed Funding,"3,25,000"
eCommerce,Self-Checkout ECommerce App,Bangalore,KStart Capital,Seed Funding,"6,50,000"
Consumer Internet,Online Education Platform,Bangalore,Verlinvest,Private Equity,
ECommerce,Online Meat Ordering platform,Bangalore,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",Private Equity,"1,00,00,000"
Consumer Internet,Doctor & Hospital search Platform,Bangalore,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",Seed Funding,"50,000"
Technology,Mobile OS creator,Mumbai,"JSW Ventures, VenturEast",Private Equity,
Technology,Electric Motorcycle manufacturer,Bangalore,"Meher Roy, Nikhil Arora, Meet Kanodia, Krit Sankalp, Nitish Singh, Risabh Gupta",Seed Funding,
Consumer Internet,Pathology & Diagnostic Tests Portal,Gurgaon,Om Chaudhry,Seed Funding,
Consumer Internet,Offline Business Aggregator App,Mumbai,"Malini Patel, Stelcore Management Services, Anjani Prasad",Seed Funding,"1,55,000"
Technology,Turnkey Solar Solutions,Mumbai,Samridhi Fund,Private Equity,"30,00,000"
ECommerce,Online Grocer,Bangalore,Trifecta Capital,Private Equity,"70,00,000"
Consumer Internet,Sports engagement platform,New Delhi,Intex Technologies,Private Equity,
Technology,Real-Estate Workflow mobile app,Bangalore,"Satveer Thakral, LetsVenture, Mumbai Angels",Seed Funding,
Technology,ERP solutions provider,Pune,"B Capital Group, Ignition Partners, Greycroft, e.ventures,\\xc2\\xa0 Eight Roads Ventures",Private Equity,"2,50,00,000"
Technology,Intelligent Sales Assistant,Pune,Undisclosed Investors,Seed Funding,
Consumer Internet,Curated Platform for Developers,Hyderabad,"Satya D Sinha, Gyanendra Singh",Seed Funding,
Consumer Internet,Online lending platform,Bangalore,IFMR Capital Finance,Private Equity,"25,00,000"
Technology,Hotel Management Solution,Kolkata,Jaarvis Accelerator,Seed Funding,
Consumer Internet,Online Counselling Platform,Mumbai,"Batlivala & Karani Securities, Venture Works",Seed Funding,"4,50,000"
Consumer Internet,Online travel agent marketplace,Noida,"RB Investments, SAIF Partners, Bessemer Venture Partners",Private Equity,"1,00,00,000"
Consumer Internet,"Online Travel, Adventure & Activities Portal",Bangalore,Earlsfield Capital,Seed Funding,"10,00,000"
Technology,IoT Based Energy Monitoring & Control,Gurgaon,"pi Ventures, Blume Ventures",Private Equity,"12,00,000"
Consumer Internet,Automobile Classifieds Portal,Mumbai,Temasek Holdings,Private Equity,"5,50,00,000"
Technology,Car Rental Software Solutions,Noida,"Japan Vyas, Tarun Adlakha",Seed Funding,
Consumer Internet,Online Education Portal,Gurgaon,Facebook FB Start programme,Seed Funding,"40,000"
ECommerce,Women Apparel & Lifestyle etailer,Bangalore,"RB Investments, Sequoia Capital",Private Equity,"60,00,000"
Finance,Startup Crowd-funding platform,Mumbai,Ganesh Natarajan,Seed Funding,
ECommerce,Women Fashion Portal,Bangalore,"Sistema Asia Fund, Amereus Group, Helion Ventures",Private Equity,"80,00,000"
ECommerce,Online Food Delivery Platform,Bangalore,Al Dhaheri family,Private Equity,"5,00,000"
Consumer Internet,Tech Enabler for Artists,Mumbai,ThinQbate,Seed Funding,
Technology,Medical Automation platform,Bangalore,"Accel Partners, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners",Private Equity,"58,00,000"
Technology,Decision Sciences Analytics Solutions,Bangalore,"Vertex Ventures, Lumis Partners",Private Equity,"75,00,000"
Consumer Internet,On Demand Laundry & Dry Cleaning Services,Chennai,Anil Jain & other HNIs,Private Equity,"32,00,000"
